,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
78,14,Yao Ming,23,HOU,0.0,1.0,1230,0.001,82,32.8,17.5,9.0,1.5,0.3,1.9,0.522,0.0,0.809,11.4,0.202,0.5335365853658537,0.27439024390243905,0.04573170731707318,0.009146341463414635,0.057926829268292686,0.9207317073170733,2004
79,14,Michael Redd,24,MIL,0.0,1.0,1230,0.001,82,36.8,21.7,5.0,2.3,1.0,0.1,0.44,0.35,0.868,9.7,0.154,0.5896739130434783,0.13586956521739132,0.0625,0.027173913043478264,0.0027173913043478264,0.8179347826086957,2004
80,1,Steve Nash,30,PHO,65.0,1066.0,1270,0.839,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,0.45189504373177847,0.09620991253644315,0.3352769679300292,0.02915451895043732,0.002915451895043732,0.9154518950437318,2005
81,2,Shaquille O'Neal,32,MIA,58.0,1032.0,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,0.0,0.461,11.0,0.211,0.6715542521994134,0.30498533724340177,0.07917888563049853,0.014662756598240468,0.06744868035190615,1.1378299120234603,2005
82,3,Dirk Nowitzki,26,DAL,0.0,349.0,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,0.6744186046511628,0.2506459948320413,0.08010335917312661,0.031007751937984492,0.03875968992248062,1.074935400516796,2005
83,4,Tim Duncan,28,SAS,1.0,328.0,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,0.6077844311377246,0.3323353293413174,0.08083832335329343,0.020958083832335328,0.07784431137724551,1.1197604790419162,2005
84,5,Allen Iverson,29,PHI,2.0,240.0,1270,0.189,75,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136,0.7257683215130024,0.09456264775413713,0.18676122931442082,0.05673758865248227,0.0023640661938534283,1.066193853427896,2005
85,6,LeBron James,20,CLE,0.0,93.0,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,0.6415094339622641,0.17452830188679247,0.169811320754717,0.0518867924528302,0.01650943396226415,1.054245283018868,2005
86,7,Tracy McGrady,25,HOU,0.0,44.0,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18,0.6299019607843137,0.1519607843137255,0.13970588235294118,0.04166666666666667,0.01715686274509804,0.9803921568627452,2005
87,8,Dwyane Wade,23,MIA,0.0,43.0,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,0.6243523316062176,0.13471502590673576,0.17616580310880828,0.04145077720207254,0.02849740932642487,1.005181347150259,2005
88,9,Amar'e Stoudemire,22,PHO,1.0,41.0,1270,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243,0.7202216066481995,0.24653739612188366,0.0443213296398892,0.027700831024930747,0.0443213296398892,1.0831024930747921,2005
89,9,Ray Allen,29,SEA,0.0,41.0,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,0.6081424936386769,0.11195928753180663,0.09414758269720103,0.027989821882951658,0.002544529262086514,0.8447837150127226,2005
90,11,Kevin Garnett,28,MIN,0.0,15.0,1270,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,0.5826771653543307,0.3543307086614173,0.14960629921259844,0.03937007874015748,0.03674540682414698,1.1627296587926508,2005
91,12,Gilbert Arenas,23,WAS,0.0,4.0,1270,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,0.6234718826405868,0.11491442542787286,0.12469437652811735,0.04156479217603912,0.007334963325183374,0.9119804400977995,2005
